0.991,0.0
0.99,2.4
0.95,5.2
0.90,7.1
0.85,8.3
0.80,9.4
0.75,10.6
0.70,11.8
0.65,12.9
0.60,14.1
0.55,15.0
0.50,15.9
0.45,16.8
0.40,17.4
0.35,18.3
0.30,19.5
0.25,20.7
0.20,22.4
0.15,23.9
0.10,25.9
0.05,29.1
0.01,36.4
0.00999,100.0
